,All,All,All,All,All,All,No Complication,No Complication,No Complication,No Complication,No Complication,No Complication,Complication,Complication,Complication,Complication,Complication,Complication
,Mean,Median,Std,Min,Max,IQR,Mean,Median,Std,Min,Max,IQR,Mean,Median,Std,Min,Max,IQR
HBa1C_mean,6.5569,6.3667,0.7345,4.9,9.4,0.9217,6.5575,6.3667,0.7341,4.9,9.3,0.9229,6.5459,6.3944,0.743,5.2,9.4,0.9
HBa1C_max,6.8481,6.5,0.9986,4.9,9.4,1.3,6.8493,6.5,0.9996,4.9,9.4,1.3,6.8269,6.5,0.9801,5.2,9.4,1.2
HBa1C_min,6.3066,6.2,0.5882,4.6,9.4,0.6,6.3065,6.2,0.5858,4.6,9.3,0.6425,6.3077,6.2,0.6313,5.1,9.4,0.6
HBa1C_std,0.2168,0.1414,0.2452,0.0,1.5453,0.3338,0.2167,0.1414,0.2447,0.0,1.5453,0.3338,0.2188,0.1414,0.2547,0.0,1.2728,0.339
HBa1C_last,6.5457,6.3,0.7703,4.6,9.4,0.9,6.5457,6.3,0.7681,4.6,9.4,0.9,6.5445,6.3,0.8103,5.1,9.4,0.8
LDL_mean,2.7003,2.6612,0.8001,0.485,5.25,1.13,2.7111,2.6725,0.8006,0.485,5.25,1.1334,2.5003,2.414,0.7627,0.79,5.0275,0.9742
LDL_max,3.5118,3.53,0.8853,0.54,5.26,1.26,3.5188,3.54,0.883,0.54,5.26,1.26,3.3812,3.41,0.9187,1.16,5.26,1.32
LDL_min,1.9359,1.79,0.8684,0.35,5.25,1.21,1.9486,1.81,0.8707,0.35,5.25,1.22,1.7005,1.52,0.7887,0.38,4.95,0.95
LDL_std,0.6132,0.5857,0.3236,0.0,2.588,0.4561,0.6116,0.5825,0.3239,0.0,2.588,0.4572,0.6428,0.6222,0.3169,0.0,1.9358,0.4327
LDL_last,2.5136,2.425,0.9973,0.35,5.26,1.47,2.5239,2.44,0.9973,0.35,5.26,1.47,2.3233,2.22,0.9792,0.38,5.13,1.39
HDL_mean,1.2459,1.225,0.2414,0.65,1.88,0.3446,1.2471,1.2267,0.2416,0.65,1.88,0.3433,1.2227,1.2038,0.2353,0.72,1.85,0.3238
HDL_max,1.3857,1.37,0.2597,0.65,1.88,0.39,1.3861,1.37,0.2595,0.65,1.88,0.39,1.3794,1.37,0.2622,0.72,1.88,0.39
HDL_min,1.1093,1.08,0.2432,0.65,1.88,0.33,1.1117,1.08,0.2436,0.65,1.88,0.34,1.0659,1.03,0.2329,0.65,1.85,0.31
HDL_std,0.1067,0.0993,0.057,0.0,0.5233,0.0664,0.106,0.099,0.0565,0.0,0.5233,0.0659,0.1201,0.1114,0.0638,0.0,0.3894,0.0747
HDL_last,1.273,1.25,0.2709,0.65,1.88,0.4,1.274,1.26,0.2705,0.65,1.88,0.4,1.2541,1.22,0.2772,0.65,1.88,0.385
Triglycerid_mean,1.675,1.6025,0.5871,0.3157,3.61,0.8575,1.6801,1.61,0.5875,0.3157,3.61,0.858,1.5822,1.4957,0.5716,0.4775,3.19,0.8332
Triglycerid_max,2.2212,2.19,0.7626,0.41,3.61,1.26,2.2253,2.2,0.7613,0.41,3.61,1.25,2.147,2.06,0.7827,0.68,3.6,1.26
Triglycerid_min,1.2139,1.1,0.5281,0.04,3.61,0.62,1.2199,1.1,0.5308,0.04,3.61,0.625,1.1039,1.01,0.4633,0.23,3.19,0.57
Triglycerid_std,0.3978,0.3609,0.2364,0.0,1.8031,0.3197,0.3976,0.3608,0.2367,0.0,1.8031,0.3197,0.4026,0.3696,0.2307,0.0,1.3789,0.3251
Triglycerid_last,1.5909,1.44,0.7074,0.27,3.61,0.96,1.5969,1.44,0.7076,0.27,3.61,0.97,1.4814,1.32,0.6955,0.38,3.59,0.91
Age,77.0319,77.0,7.9198,37.0,106.0,11.0,76.8397,77.0,7.8795,37.0,105.0,10.0,80.5852,81.0,7.8279,53.0,106.0,10.0
